Merek,Model,Varian,Tahun,Transmisi,jarak_tempuh_max
Mercedes-Benz,A-Class,A250,2014,Automatic,35000.0
Mazda,2,GT,2017,Automatic,10000.0
Hyundai,Grand Avega,GL,2012,Manual,110000.0
KIA,Picanto,M/T,2013,Manual,15000.0
Infiniti,FX,FX37 3.7L V6,2013,Automatic,75000.0
Mercedes-Benz,C-Class,C200,2018,Automatic Triptonic,10000.0
Hyundai,Lain-lain,Lain-lain,2001,Manual,5000.0
Honda,Jazz,RS,2014,Automatic Triptonic,30000.0
Toyota,Innova,G,2011,Manual,105000.0
Toyota,Innova,V Diesel,2016,Automatic,45000.0
Mazda,Lain-lain,Lain-lain,1990,Manual,275000.0
Proton,Exora,CPS FL,2014,Automatic,30000.0
BMW,Serie 5,520i,2013,Automatic,20000.0
BMW,X1,sDrive18i Business,2012,Automatic,95000.0
Daihatsu,Xenia,R 1.3 DLX,2015,Manual,75000.0
Honda,Jazz,,2002,Automatic,205000.0
BMW,Lain-lain,Lain-lain,1999,Manual,170000.0
Wuling,Lain-lain,Lain-lain,2018,Automatic Triptonic,10000.0
BMW,Serie 3,318i 2.0,2002,Automatic,155000.0
Nissan,March,1.2L XS,2014,Automatic,55000.0
Toyota,Avanza,G,2015,Manual,50000.0
Timor,DOHC,Lain-lain,2000,Manual,125000.0
Ford,Ranger,WildTrak,2014,Automatic,60000.0
Peugeot,206,XS,2006,Manual,115000.0
Honda,CR-V,2.4 i-VTEC,2010,Automatic,110000.0
Mazda,Lain-lain,Lain-lain,2013,Manual,50000.0
Nissan,Grand livina,Lain-lain,2013,Automatic,85000.0
Isuzu,Panther,2.5,2000,Manual,105000.0
Suzuki,Ertiga,GX,2013,Manual,60000.0
Peugeot,206,XS,2004,Automatic Triptonic,130000.0
Toyota,Innova,G,2015,Manual,30000.0
Timor,S515i,Lain-lain,1997,Manual,15000.0
Daihatsu,Gran max,Lain-lain,2011,Manual,190000.0
Nissan,Grand livina,Lain-lain,2011,Automatic,65000.0
Honda,Accord,VTi-L,2016,Automatic Triptonic,15000.0
Suzuki,Ertiga,GL Sporty,2014,Manual,55000.0
Isuzu,Panther,2.3,1995,Manual,15000.0
Datsun,Go+,Panca T Ultimate,2016,Manual,15000.0
Volkswagen,Polo,1.4,2012,Automatic,60000.0
Mazda,MR-90,Lain-lain,1992,Manual,60000.0
KIA,Picanto,M/T,2011,Manual,80000.0
Hyundai,Verna,Lain-lain,2005,Manual,
Mazda,6,2.5,2012,Automatic,55000.0
Ford,Everest,XLT,2005,Manual,125000.0
Peugeot,207,Lain-lain,2012,Automatic,80000.0
Nissan,X-Trail,Lain-lain,2008,Automatic Triptonic,30000.0
Mitsubishi,Pajero Sport,Exceed,2014,Automatic Triptonic,50000.0
Mini Cooper,Mini Cooper,Lain-lain,2013,Automatic Triptonic,25000.0
Suzuki,Carry Pick-up,,2019,Manual,5000.0
Nissan,X-Trail,Lain-lain,2009,Automatic Triptonic,155000.0
Ford,Fiesta,Sport,2011,Automatic,65000.0
Proton,Savvy,Lain-lain,2007,Manual,90000.0
Hino,FL235 JN,Lain-lain,2013,Manual,160000.0
Mitsubishi,Xpander,ULTIMATE A/T,2019,Automatic,10000.0
Mitsubishi,L300,,2016,Manual,55000.0
Suzuki,SX4,Cross Over,2008,Manual,95000.0
Suzuki,Swift,GX,2014,Automatic,50000.0
Nissan,X-Trail,,2015,Automatic,60000.0
Toyota,Lain-lain,Lain-lain,2013,Manual,285000.0
Honda,HR-V,E CVT,2018,Automatic Triptonic,15000.0
Chevrolet,Spin,LT,2013,Manual,90000.0
Mazda,2,,2012,Automatic,95000.0
Hyundai,New Tucson,,2014,Automatic,30000.0
Dodge,Journey,SXT Plantinum,2013,Automatic,110000.0
Mitsubishi,Xpander,ULTIMATE A/T,2018,Automatic,10000.0
Peugeot,206,Lain-lain,2001,Manual,170000.0
Chevrolet,Aveo,LT,2012,Automatic Triptonic,80000.0
Mercedes-Benz,CLK,Lain-lain,2005,Automatic Triptonic,45000.0
Datsun,Go+,Panca T Opt,2016,Manual,40000.0
Mitsubishi,Pajero Sport,Dakar,2013,Automatic,50000.0
Toyota,Corolla,2.0,1998,Manual,60000.0
Mercedes-Benz,C-Class,C200,2012,Automatic Triptonic,60000.0
Hyundai,i10,Lain-lain,2014,Automatic,30000.0
Daihatsu,Ayla,X,2014,Manual,30000.0
Isuzu,Panther,LS Black Panther,2003,Manual,105000.0
KIA,Carens II,Lain-lain,2003,Automatic,170000.0
Mitsubishi,Xpander,ULTIMATE A/T,2018,Automatic,25000.0
Jaguar,XF,Premium Luxury,2013,Automatic Triptonic,30000.0
Toyota,Fortuner,G,2012,Automatic,80000.0
Hyundai,New Tucson,Lain-lain,2012,Automatic,120000.0
BMW,X1,sDrive18i xLine,2017,Automatic,10000.0
Nissan,Grand livina,Lain-lain,2012,Manual,110000.0
Daihatsu,Xenia,Xi Sporty,2010,Manual,40000.0
Daihatsu,Luxio,X,2014,Manual,45000.0
Mazda,2,R,2019,Automatic Triptonic,10000.0
Peugeot,206,Sporty,2002,Manual,25000.0
Isuzu,Panther,2.5,2001,Manual,205000.0
Toyota,Avanza,G,2014,Manual,105000.0
BMW,Lain-lain,Lain-lain,2000,Automatic,25000.0
Mini Cooper,Mini Cooper,Lain-lain,2012,Automatic,20000.0
Wuling,Confero S,S 1.5C LUX PLUS,2017,Manual,30000.0
Suzuki,Karimun estillo,Lain-lain,2011,Manual,105000.0
Mazda,Biante,2.0 SKYACTIV,2014,Automatic,70000.0
Chevrolet,Captiva,,2017,Automatic,30000.0
Datsun,Go+,Panca T,2015,Manual,95000.0
Ford,Fiesta,Sport,2012,Automatic,65000.0
Land Rover,Range rover,Lain-lain,2011,Automatic,30000.0
Daihatsu,Luxio,D,2017,Manual,20000.0
Toyota,Corolla,Lain-lain,1995,Manual,10000.0
Ford,Fiesta,Sport,2011,Manual,90000.0
KIA,Rio,Hatchback,2012,Manual,85000.0
Isuzu,Panther,2.3,1995,Manual,155000.0
Mitsubishi,Mirage,SPORT,2015,Automatic,25000.0
Mercedes-Benz,C-Class,C250,2017,Automatic,30000.0
Toyota,Fortuner,G Luxury,2011,Automatic,95000.0
Nissan,March,1.2,2011,Manual,155000.0
Suzuki,Karimun estillo,Lain-lain,2012,Manual,40000.0
KIA,Picanto,SE 2,2012,Manual,100000.0
Mobil CBU,Mobil CBU Lainnya,Lain-lain,2000,Automatic,
Toyota,Land Cruiser,4.2 VX,1997,Automatic,165000.0
BMW,Serie 3,320i Business Edition,2009,Automatic,100000.0
Klasik dan Antik,Klasik dan Antik,Lain-lain,1985,Manual,65000.0
Mitsubishi,Outlander,Lain-lain,2017,Automatic,10000.0
Jeep,Wrangler ,Sport Unlimited,2012,Automatic,35000.0
Honda,Brio,S,2014,Automatic,90000.0
Mazda,CX-5,Urban,2015,Automatic Triptonic,50000.0
KIA,Pregio,SE Option,2004,Manual,210000.0
Mercedes-Benz,E-Class,E250,2012,Automatic,55000.0
KIA,Picanto,A/T,2013,Automatic,100000.0
Isuzu,Lain-lain,,2016,Manual,100000.0
KIA,Picanto,SE,2012,Automatic,80000.0
Honda,CR-V,2.4 i-VTEC,2005,Automatic,205000.0
Suzuki,Karimun,GX,2016,Manual,90000.0
Isuzu,Lain-lain,,2016,Manual,100000.0
Daihatsu,Xenia,Li,2007,Manual,200000.0
BMW,Serie 3,318i E36 1.8,1997,Manual,25000.0
Honda,Jazz,S,2010,Automatic,175000.0
Hyundai,Atoz,GLS,2000,Automatic,155000.0
Mazda,2,R,2015,Automatic,30000.0
Daihatsu,Gran max,Lain-lain,2013,Manual,160000.0
Hyundai,H-1,XG Next Generion,2011,Automatic,85000.0
Daihatsu,Gran max,Lain-lain,2015,Manual,155000.0
Daihatsu,Ayla,X,2015,Manual,45000.0
Daihatsu,Terios,TX,2010,Manual,100000.0
Mercedes-Benz,A-Class,,2013,Automatic,50000.0
Daihatsu,Zebra,1.3,1991,Manual,40000.0
Renault,Koleos,2.5 X-Tronic CVT,2018,Automatic Triptonic,5000.0
Chevrolet,Trooper,2.3,1994,Manual,
Daihatsu,Terios,TX,2007,Manual,130000.0
Ford,Fiesta,Sport+,2012,Automatic Triptonic,50000.0
Proton,Gen2,Lain-lain,2012,Manual,35000.0
Mazda,2,R,2013,Automatic,70000.0
Toyota,Limo,Lain-lain,2011,Manual,105000.0
Mazda,Biante,2.0 SKYACTIV,2013,Automatic Triptonic,90000.0
Mitsubishi,Triton,GLX,2013,Manual,55000.0
KIA,Sedona,Lain-lain,2004,Manual,45000.0
Toyota,Vios,Lain-lain,2003,Manual,
Chevrolet,Trailblazer,Lain-lain,2017,Automatic,40000.0
Timor,DOHC,1.5,2010,Manual,205000.0
Mazda,CX-5,,2016,Automatic,35000.0
Toyota,Land Cruiser,VX Grade,2003,Automatic,105000.0
Nissan,Grand livina,Lain-lain,2013,Automatic,80000.0
Nissan,March,1.2L,2013,Manual,40000.0
Mazda,Biante,2.0,2012,Automatic,75000.0
BMW,Lain-lain,Lain-lain,1994,Manual,60000.0
Toyota,Harrier,G,2011,Manual,155000.0
Mazda,2,V,2013,Automatic,35000.0
Chrysler,300,300C,2013,Automatic,40000.0
Isuzu,Panther,2.3,1993,Manual,300000.0
Isuzu,Panther,2.3,1993,Manual,15000.0
Suzuki,Wagon R,Lain-lain,2016,Automatic Triptonic,35000.0
Wuling,Lain-lain,Lain-lain,2019,Automatic,10000.0
Chevrolet,Captiva,Lain-lain,2011,Automatic Triptonic,85000.0
Isuzu,Panther,LS,2006,Manual,140000.0
Suzuki,Escudo,JLX,1997,Manual,
Mazda,2,R,2011,Automatic Triptonic,65000.0
Mazda,CX-5,Touring,2014,Automatic,55000.0
Klasik dan Antik,Klasik dan Antik,Lain-lain,1991,Manual,95000.0
Mercedes-Benz,CLA-Class,CLA200,2014,Automatic,35000.0
Mitsubishi,Triton,Exceed,2013,Manual,130000.0
Datsun,Go+,Panca A,2016,Manual,65000.0
Mitsubishi,Pajero Sport,Exceed,2010,Automatic Triptonic,125000.0
Mazda,6,2.5,2019,Automatic Triptonic,5000.0
BMW,Serie 3,318i 1.8,1996,Manual,40000.0
Nissan,X-Trail,Lain-lain,2015,Automatic,50000.0
Nissan,Juke,RX,2014,Automatic,105000.0
Toyota,Vellfire,Z,2009,Automatic Triptonic,120000.0
Nissan,Grand livina,Lain-lain,2014,Automatic,50000.0
Datsun,Go+,Panca T,2017,Manual,30000.0
Mercedes-Benz,C-Class,C240,2002,Automatic,85000.0
Land Rover,Range Rover Sport,V8 Supercharged,2006,Automatic,105000.0
Hyundai,Atoz,GLS,2000,Manual,105000.0
Mazda,MR-90,Lain-lain,1991,Manual,135000.0
Toyota,Innova,G,2013,Manual,90000.0
KIA,Carens II,Lain-lain,2004,Automatic,125000.0
Suzuki,Katana,Lain-lain,1991,Manual,10000.0
Nissan,X-Trail,Lain-lain,2010,Automatic Triptonic,25000.0
BMW,X4,X4,2015,Automatic,25000.0
Isuzu,Colt 77 PS,Lain-lain,2012,Manual,105000.0
KIA,Visto,Lain-lain,2003,Manual,30000.0
Hyundai,Grand Avega,Limited Edition,2014,Automatic,65000.0
Toyota,Yaris,TRD Sportivo Heykers,2017,Manual,40000.0
Chevrolet,Spin,LT,2013,Manual,105000.0
Hyundai,i10,1.1 L,2010,Manual,70000.0
Chevrolet,Spin,LTZ,2014,Automatic,60000.0
Chevrolet,Spin,LTZ,2014,Automatic,5000.0
Honda,HR-V,1.8L Prestige,2016,Automatic Triptonic,40000.0
Mitsubishi,Colt,3.9,2004,Manual,105000.0
KIA,Picanto,M/T,2006,Manual,50000.0
Jeep,Cherokee,Lain-lain,1997,Manual,
Isuzu,Grand touring,Lain-lain,2010,Manual,120000.0
Chevrolet,Aveo,LT,2003,Automatic,150000.0
Smart,Fortwo,1.0 Passion Coupe,2010,Automatic Triptonic,55000.0
Chevrolet,Kalos,LT,2006,Manual,140000.0
Nissan,Livina,Lain-lain,2013,Automatic,80000.0
Isuzu,Panther,2.5,1996,Manual,190000.0
KIA,Pride,1.4,2011,Automatic,80000.0
Peugeot,206,Lain-lain,2004,Manual,105000.0
Isuzu,Panther,2.3,1995,Manual,20000.0
Fiat,125,Lain-lain,1985,Manual,110000.0
Chevrolet,Trax,LTZ,2017,Automatic,45000.0
Mitsubishi,Strada Triton,GLS,2010,Manual,135000.0
Nissan,Grand livina,Lain-lain,2008,Manual,15000.0
Suzuki,Karimun,DX,2000,Manual,120000.0
Toyota,Yaris,TRD Sportivo,2017,Automatic,20000.0
Datsun,Go,Panca T,2015,Manual,5000.0
Mercedes-Benz,C-Class,C300,2008,Automatic Triptonic,85000.0
Daihatsu,Feroza,1.6,1994,Manual,85000.0
Isuzu,Panther,LS,2004,Manual,200000.0
Volkswagen,Polo,1.4,2012,Automatic,50000.0
Suzuki,Swift,ST,2009,Automatic,90000.0
Infiniti,FX,37,2012,Automatic,40000.0
Mercedes-Benz,ML-Class,ML320,2008,Automatic Triptonic,60000.0
Nissan,X-Trail,Lain-lain,2015,Automatic Triptonic,115000.0
Chevrolet,Spin,LTZ,2015,Manual,80000.0
Honda,BR-V,E Prestige,2017,Automatic Triptonic,10000.0
Isuzu,New Panther,Lain-lain,2008,Manual,95000.0
Jeep,Wrangler ,Sport Renegrade,2013,Automatic Triptonic,25000.0
Mitsubishi,Xpander,,2019,Manual,5000.0
Mazda,2,V,2013,Automatic,100000.0
Subaru,Forester,2.0,2014,Automatic Triptonic,50000.0
Nissan,Navara,Lain-lain,2011,Automatic,60000.0
Chevrolet,Captiva,Lain-lain,2013,Automatic,105000.0
Suzuki,Karimun,Estilo,2011,Manual,90000.0
Suzuki,Ertiga,GX,2014,Manual,90000.0
Mazda,Vantrend,1.4,1993,Manual,115000.0
Hyundai,Lain-lain,Lain-lain,2010,Automatic,100000.0
Toyota,Avanza,G,2009,Manual,100000.0
Honda,Freed,E,2012,Automatic,85000.0
Suzuki,Ertiga,GX,2015,Automatic,65000.0
Honda,HR-V,E CVT,2018,Automatic Triptonic,10000.0
Audi,Audi A8,Lain-lain,2004,Automatic Triptonic,45000.0
BMW,Serie 3,,2003,Automatic Triptonic,60000.0
Suzuki,SX4,Cross Over,2010,Automatic,105000.0
Suzuki,Carry,Lain-lain,1995,Manual,25000.0
Ford,Ecosport,Trend,2014,Automatic,55000.0
KIA,Sedona,Lain-lain,2005,Automatic,140000.0
Nissan,Serena,HWS,2013,Automatic,90000.0
Honda,Mobilio,E,2017,Automatic,20000.0
Toyota,Avanza,G Luxury,2014,Manual,75000.0
Mini Cooper,Mini Cooper,Lain-lain,2014,Automatic,15000.0
Mitsubishi,Colt,Lain-lain,2006,Manual,110000.0
Honda,Mobilio,E,2014,Manual,75000.0
Mazda,CX-5,Grand Touring,2015,Automatic,65000.0
Suzuki,Ertiga,GX,2013,Manual,55000.0
Wuling,Cortez,1.8,2018,Automatic,15000.0
Hino,R260,,2014,Manual,215000.0
Hyundai,Santa Fe,Lain-lain,2014,Automatic,50000.0
Mitsubishi,Pajero Sport,Dakar,2014,Automatic,55000.0
KIA,Picanto,1.2 NA,2013,Manual,50000.0
Daihatsu,Zebra,1.3,1993,Manual,
Mini Cooper,Mini Cooper,Lain-lain,2007,Automatic Triptonic,20000.0
Suzuki,Ertiga,GX,2018,Automatic,25000.0
Toyota,Innova,V Diesel,2004,Automatic,110000.0
Suzuki,Swift,GS,2016,Manual,50000.0
Daihatsu,Sigra,1.2 R,2017,Automatic,35000.0
Mitsubishi,Pajero Sport,Dakar,2016,Automatic,40000.0
Isuzu,Lain-lain,Lain-lain,2016,Manual,55000.0
Hyundai,Grand Avega,,2013,Manual,45000.0
Suzuki,Wagon R,Lain-lain,2015,Manual,75000.0
Toyota,Agya,TRD Sportivo,2017,Manual,30000.0
Isuzu,Panther,2.3,1993,Manual,60000.0
KIA,Picanto,SE,2007,Manual,95000.0
KIA,Picanto,SE,2012,Manual,75000.0
BMW,X5,xDrive35i Executive,2008,Automatic Triptonic,60000.0
Chevrolet,Trailblazer,Lain-lain,2017,Automatic,25000.0
Lexus,NX,200T F-Sport,2015,Automatic,25000.0
Hyundai,i10,1.1 L,2011,Manual,105000.0
Chevrolet,Trax,"1,4 L",2018,Automatic,35000.0
Mercedes-Benz,S-Class,S350 L,2011,Automatic,45000.0
Ford,laser,Lain-lain,1997,Manual,5000.0
Nissan,Evalia,ST,2013,Manual,85000.0
Hyundai,Accent,1.5,2001,Manual,210000.0
Mitsubishi,Xpander,EXCEED M/T,2018,Manual,25000.0
Mercedes-Benz,E-Class,E200,2014,Automatic,60000.0
Proton,Exora,CPS B-Line,2012,Manual,70000.0
Toyota,Avanza,E,2012,Manual,115000.0
Suzuki,Ertiga,GX,2014,Manual,90000.0
Toyota,Fortuner,SRZ,2019,Automatic Triptonic,10000.0
BMW,Serie 3,320i E90 Facelift,2011,Automatic,30000.0
Suzuki,SX4,Cross Over,2010,Manual,120000.0
Datsun,Go+,Lain-lain,2015,Manual,30000.0
Chevrolet,Spin,LTZ,2013,Automatic Triptonic,45000.0
Chevrolet,Captiva,,2011,Automatic,225000.0
Toyota,Avanza,G,2011,Manual,80000.0
Honda,Jazz,RS,2013,Automatic,95000.0
Isuzu,Panther,Grand Touring,2012,Manual,100000.0
Nissan,March,1.2L,2013,Manual,95000.0
Toyota,Avanza,G,2018,Manual,40000.0
Daihatsu,Xenia,R 1.3 DLX,2013,Manual,115000.0
Daihatsu,Xenia,Xi Deluxe,2009,Manual,100000.0
Daihatsu,Terios,Custom,2016,Manual,50000.0
Daihatsu,Xenia,X 1.3 STD,2015,Manual,50000.0
Suzuki,Swift,GX,2017,Automatic,45000.0
Ford,Escape,XLT,2003,Automatic,25000.0
Mazda,2,R,2011,Automatic,100000.0
Honda,Mobilio,S,2016,Manual,55000.0
KIA,Carnival,TD,2000,Automatic,120000.0
Mitsubishi,L300,Pick Up,2016,Manual,55000.0
Nissan,Grand livina,Lain-lain,2013,Manual,50000.0
Nissan,March,1.2,2013,Manual,55000.0
BMW,Serie 3,323i E36 2.5,1997,Manual,115000.0
Toyota,Avanza,Veloz,2015,Manual,80000.0
Suzuki,Swift,ST,2010,Automatic,105000.0
Wuling,Confero S,S 1.5 ,2018,Manual,5000.0
Hyundai,Grand Avega,GL Airbag,2013,Automatic,105000.0
Mercedes-Benz,GLC-Class,Lain-lain,2019,Automatic,10000.0
Toyota,Avanza,E,2015,Manual,45000.0
Mercedes-Benz,C-Class,C240,2005,Automatic,100000.0
Mercedes-Benz,E-Class,E250,2010,Automatic Triptonic,105000.0
Toyota,Alphard,2.5 G,2017,Automatic Triptonic,35000.0
Hyundai,New Tucson,Lain-lain,2012,Automatic,115000.0
BMW,Serie 5,520i,2002,Automatic Triptonic,105000.0
Honda,Freed,S,2012,Automatic,95000.0
Mazda,Biante,2.0,2012,Automatic,70000.0
Mercedes-Benz,E-Class,E280,2008,Automatic,45000.0
Honda,HR-V,1.8L Prestige,2016,Automatic Triptonic,50000.0
Toyota,Innova,G,2011,Automatic,140000.0
Mitsubishi,Kuda,Super Exceed,2001,Manual,
Mazda,CX-5,Elite,2019,Automatic Triptonic,5000.0
Ford,Lain-lain,Lain-lain,2004,Automatic,15000.0
Ford,Ecosport,Titanium,2014,Automatic Triptonic,50000.0
Daihatsu,Taruna,FGX,2002,Manual,125000.0
KIA,Visto,Lain-lain,2001,Automatic,80000.0
BMW,Serie 3,320i Sport,2016,Automatic Triptonic,15000.0
KIA,Sedona,Lain-lain,2019,Automatic,5000.0
Honda,Jazz,RS,2013,Manual,95000.0
Chevrolet,Captiva,Lain-lain,2012,Automatic Triptonic,105000.0
Chevrolet,Spin,LTZ,2013,Automatic Triptonic,10000.0
Honda,CR-V,2.4 Prestige,2008,Automatic,105000.0
Mazda,2,S,2013,Manual,95000.0
Ford,Fiesta,Sport,2014,Automatic Triptonic,100000.0
Suzuki,Katana,GX,1996,Manual,100000.0
Datsun,Go+,Panca A Opt,2018,Manual,35000.0
Mazda,CX-5,Grand Touring,2018,Automatic,10000.0
BMW,Serie 3,320i,1994,Manual,25000.0
Mini Cooper,Mini Cooper,Lain-lain,2018,Automatic,5000.0
Mitsubishi,Lancer,SEi,2001,Manual,145000.0
Nissan,Serena,HWS,2004,Automatic,115000.0
Mazda,2,V,2015,Manual,60000.0
Daihatsu,Xenia,X 1.3 Plus,2015,Manual,55000.0
Mitsubishi,T120SS,Pick Up,2014,Manual,15000.0
Fiat,125,Lain-lain,2002,Manual,45000.0
Honda,City,VTEC,2006,Automatic,95000.0
Chevrolet,Captiva,Lain-lain,2010,Automatic Triptonic,195000.0
Honda,Mobilio,E,2019,Manual,20000.0
Hino,FL235 JN,Lain-lain,2012,Manual,40000.0
Ford,Ranger,WildTrak,2013,Automatic,85000.0
Jeep,Wrangler ,V6 3.6 ,2012,Automatic,40000.0
KIA,Rio,1.6 Sedan,2005,Manual,105000.0
Chevrolet,Aveo,LT,2014,Manual,40000.0
Opel,Blazer,DOHC,2001,Manual,105000.0
Mazda,CX-7,2.5,2010,Automatic,65000.0
Mitsubishi,Xpander,ULTIMATE A/T,2017,Automatic,35000.0
BMW,Serie 5,528i Luxury,2014,Automatic,25000.0
Mitsubishi,L300,,2016,Manual,55000.0
Suzuki,Swift,GX,2015,Manual,50000.0
Proton,Saga,FLX,2013,Manual,90000.0
Suzuki,Futura,Lain-lain,2004,Manual,115000.0
Toyota,Yaris,S limited,2018,Automatic,10000.0
Wuling,Cortez,1.8,2018,Automatic,10000.0
Isuzu,Lain-lain,Lain-lain,2015,Manual,20000.0
Chevrolet,Spark,LS,2003,Manual,185000.0
Mercedes-Benz,GLA-Class,GLA45 AMG,2015,Automatic,10000.0
Chevrolet,Captiva,Lain-lain,2015,Automatic,100000.0
Geely,LC,Lain-lain,2011,Manual,35000.0
KIA,Picanto,M/T,2010,Manual,185000.0
Toyota,Land Cruiser,4.5 V8 Diesel,2010,Automatic Triptonic,75000.0
Mazda,Biante,2.0 SKYACTIV,2015,Automatic,100000.0
BMW,X5,Lain-lain,2010,Automatic,50000.0
Mercedes-Benz,C-Class,C200K,2009,Automatic,90000.0
Isuzu,Panther,LM,2007,Manual,165000.0
Suzuki,Grand escudo,Lain-lain,2005,Automatic,75000.0
Hyundai,New Tucson,Lain-lain,2005,Automatic,100000.0
Jeep,Cherokee,Limited,1997,Manual,110000.0
Land Rover,Discovery,Lain-lain,1995,Automatic,110000.0
Isuzu,Panther,Pick Up 2.5,2011,Manual,30000.0
Isuzu,Grand touring,Lain-lain,2012,Manual,80000.0
Daihatsu,Taruna,CSX,2000,Manual,135000.0
Fiat,Lain-lain,Lain-lain,1985,Manual,55000.0
Nissan,Navara,2.5,2010,Automatic,110000.0
Isuzu,Panther,Lain-lain,1993,Manual,5000.0
Mazda,2,R,2012,Manual,135000.0
Mazda,Vantrend,1.4,1994,Manual,105000.0
Mini Cooper,Mini Cooper,Lain-lain,2013,Automatic Triptonic,50000.0
Suzuki,Ertiga,GL,2014,Manual,20000.0
KIA,Sportage,EX,2012,Automatic Triptonic,80000.0
Toyota,Kijang Pick-Up,Lain-lain,1995,Manual,20000.0
Nissan,March,1.2L XS,2014,Automatic,40000.0
Peugeot,307,Sporty XS,2003,Automatic Triptonic,155000.0
Nissan,Serena,HWS,2009,Automatic,185000.0
Ford,Telstar,1.6,1997,Manual,35000.0
Honda,Mobilio,E,2016,Automatic,75000.0
Daihatsu,Sigra,1.2 R,2018,Automatic,15000.0
Isuzu,Lain-lain,Lain-lain,2013,Manual,95000.0
Lexus,RX,300,2003,Automatic,130000.0
Proton,Savvy,Lain-lain,2007,Automatic Triptonic,80000.0
Toyota,Avanza,G,2016,Manual,40000.0
Honda,HR-V,E CVT,2017,Automatic Triptonic,30000.0
Honda,Jazz,RS,2017,Automatic,20000.0
Honda,Accord,2.2,2002,Automatic,190000.0
Suzuki,Ertiga,,2019,Manual,5000.0
Hyundai,Avega,GX,2012,Manual,55000.0
Volkswagen,Touran,TSI,2010,Automatic,95000.0
Mazda,8,2.3,2013,Automatic,90000.0
Toyota,Agya,TRD Sportivo,2014,Automatic,115000.0
Suzuki,Swift,ST,2011,Manual,65000.0
Mercedes-Benz,CLS-Class,CLS400,2015,Automatic Triptonic,10000.0
BMW,Serie 4,428i Convertible Sport,2014,Automatic Triptonic,25000.0
Isuzu,Elf Minibus,2.8 Minibus Diesel,2016,Manual,110000.0
Nissan,Serena,HWS,2009,Automatic,110000.0
Mercedes-Benz,E-Class,E400,2015,Automatic Triptonic,20000.0
Mazda,2,R,2010,Automatic,80000.0
Renault,Lain-lain,Lain-lain,2015,Automatic Triptonic,25000.0
Toyota,Innova,E,2015,Automatic,75000.0
Honda,Brio,E,2017,Manual,15000.0
Chevrolet,Captiva,Lain-lain,2008,Manual,85000.0
Mitsubishi,Strada Triton,GLS,2011,Manual,85000.0
Isuzu,Elf Minibus,Lain-lain,2006,Manual,5000.0
BMW,Serie 3,320i E90 2.0,2005,Automatic,115000.0
Audi,Audi A4,1.8 TFSI PI,2013,Automatic Triptonic,95000.0
Ford,Everest,XLT,2008,Automatic,200000.0
Opel,Blazer,Montera LN,2001,Manual,250000.0
Toyota,Corolla,Lain-lain,1991,Manual,270000.0
Honda,CR-V,4X4,2000,Manual,115000.0
Nissan,Serena,HWS,2015,Automatic,90000.0
Lexus,ES,ES250,2014,Automatic,10000.0
Hyundai,Grand Avega,GX,2012,Manual,65000.0
Chevrolet,Captiva,Lain-lain,2010,Automatic Triptonic,105000.0
Peugeot,407,407,2010,Automatic,155000.0
Daihatsu,Gran max Pick-up,Lain-lain,2012,Manual,85000.0
Proton,Exora,FLX,2014,Manual,40000.0
Daihatsu,Gran max,Lain-lain,2017,Automatic,75000.0
Daihatsu,Taft,GT,1996,Manual,160000.0
BMW,Serie 3,320i Sport,2013,Automatic Triptonic,60000.0
Suzuki,Splash,GL,2012,Manual,140000.0
Mitsubishi,Xpander,EXCEED A/T,2017,Automatic,20000.0
Suzuki,Wagon R,Lain-lain,2014,Manual,65000.0
Hyundai,Excel,Lain-lain,2006,Manual,100000.0
Suzuki,Swift,ST,2008,Automatic,85000.0
Isuzu,New Panther,Lain-lain,2010,Manual,145000.0
Mercedes-Benz,C-Class,C200,2014,Automatic Triptonic,50000.0
Daihatsu,Sirion,M,2013,Manual,50000.0
Wuling,Lain-lain,Lain-lain,2019,Automatic,5000.0
Hyundai,Avega,GL,2008,Manual,115000.0
Mitsubishi,Galant,V6-24,2001,Automatic,140000.0
BMW,Serie 5,528i,2016,Automatic Triptonic,20000.0
Honda,HR-V,S MT,2015,Manual,60000.0
Mitsubishi,Mirage,GLX,2014,Manual,45000.0
Mazda,323,Interplay,1992,Manual,105000.0
Mazda,2,R,2011,Automatic,75000.0
Nissan,Skyline,Lain-lain,1994,Automatic,100000.0
Timor,SOHC,1.5,1996,Manual,115000.0
Mazda,RX-8,Sport,2004,Automatic Triptonic,35000.0
Audi,Audi Q7,3.0 TFSI Quattro,2018,Automatic,10000.0
Mitsubishi,Pajero Sport,2.5L Dakar,2014,Automatic Triptonic,45000.0
Mitsubishi,Pajero Sport,Dakar,2018,Automatic,10000.0
Mazda,2,R,2012,Automatic,55000.0
Nissan,Grand livina,Lain-lain,2007,Manual,110000.0
Mazda,8,2.3,2012,Automatic Triptonic,90000.0
Honda,Brio,RS,2016,Automatic,60000.0
Mazda,CX-5,Sport,2012,Automatic,45000.0
Daihatsu,Rocky,F75 4X4 2.8,1997,Manual,125000.0
Suzuki,Ertiga,GL,2015,Manual,75000.0
Mitsubishi,Xpander,EXCEED M/T,2018,Manual,20000.0
Honda,Odyssey,2.4L Prestige,2012,Automatic,95000.0
BMW,Serie 3,320i E36 2.0,1995,Manual,205000.0
