Merek,Model,Varian,Tahun,Transmisi,jarak_tempuh_max
Mitsubishi,Pajero Sport,Exceed,2010,Automatic,130000.0
BMW,M Series,M3,1990,Manual,75000.0
Nissan,X-Trail,Lain-lain,2011,Automatic,105000.0
Isuzu,Lain-lain,Lain-lain,2018,Manual,35000.0
Mitsubishi,Pajero Sport,Dakar,2016,Automatic Triptonic,35000.0
Daihatsu,Ayla,X,2017,Manual,25000.0
Isuzu,Elf Minibus,Lain-lain,2015,Manual,130000.0
Mitsubishi,Pajero,Lain-lain,2014,Automatic,65000.0
Daihatsu,Gran max Pick-up,Lain-lain,2018,Manual,45000.0
Mini Cooper,Mini Cooper,,2015,Automatic Triptonic,35000.0
Daihatsu,Ayla,X,2017,Manual,25000.0
Isuzu,Elf Minibus,2.8 Minibus Diesel,2013,Manual,
Daihatsu,Terios,,2019,Manual,5000.0
KIA,Picanto,M/T,2009,Manual,40000.0
Mercedes-Benz,A-Class,A140,2001,Manual,35000.0
Chevrolet,Spin,,2015,Automatic,50000.0
Hyundai,Trajet,GL8,2003,Manual,155000.0
Toyota,Avanza,G,2008,Manual,105000.0
Daihatsu,Zebra,Lain-lain,1998,Manual,30000.0
Suzuki,Ertiga,GX,2013,Manual,80000.0
Nissan,Grand livina,Lain-lain,2013,Manual,70000.0
Mazda,2,S,2010,Automatic,105000.0
BMW,Serie 5,520i,2013,Automatic,20000.0
Chevrolet,Aveo,LT,2012,Manual,40000.0
KIA,Sportage,EX,2012,Automatic Triptonic,75000.0
Toyota,Avanza,G,2014,Manual,290000.0
Honda,Mobilio,E,2014,Automatic,85000.0
Honda,Brio,E,2013,Automatic,35000.0
Hyundai,H-1,X,2012,Automatic Triptonic,60000.0
Daihatsu,Xenia,X Deluxe,2013,Manual,80000.0
Isuzu,Grand touring,Lain-lain,2011,Manual,100000.0
Ford,Everest,Lain-lain,2003,Manual,15000.0
Daihatsu,Taruna,CSX,2000,Manual,5000.0
Mini Cooper,Mini Cooper,Lain-lain,2014,Automatic,10000.0
Toyota,Rush,TRD Sportivo Ultimo,2018,Automatic,10000.0
Mitsubishi,Pajero Sport,2.5L Dakar,2011,Automatic Triptonic,80000.0
Mazda,6,2.5,2018,Automatic,10000.0
Hyundai,Avega,GX,2010,Manual,70000.0
Volkswagen,Beetle,Lain-lain,2009,Automatic,30000.0
Toyota,Soluna,Gli,2000,Manual,10000.0
Mercedes-Benz,E-Class,E300,2009,Automatic Triptonic,95000.0
Renault,Megane,Lain-lain,2005,Manual,115000.0
Suzuki,APV,GX,2008,Automatic,295000.0
Timor,DOHC,1.5,1997,Manual,35000.0
Mazda,Biante,2.0 SKYACTIV,2013,Automatic Triptonic,40000.0
Wuling,Confero S,S 1.5L,2017,Manual,45000.0
Nissan,Latio,Lain-lain,2008,Automatic,115000.0
KIA,Picanto,SE,2013,Automatic,65000.0
Mercedes-Benz,C-Class,C250,2013,Automatic Triptonic,30000.0
Mitsubishi,Pajero,,2000,Automatic,105000.0
Hyundai,H-1,,2012,Automatic,125000.0
KIA,Sportage,LX,2005,Automatic Triptonic,105000.0
Toyota,Corolla Altis,V 1.8,2016,Automatic Triptonic,50000.0
Isuzu,Panther,LM,2008,Manual,80000.0
Honda,HR-V,S CVT,2017,Automatic,10000.0
Nissan,X-Trail,Lain-lain,2015,Automatic,40000.0
Isuzu,Lain-lain,,2016,Manual,100000.0
Nissan,Grand livina,Lain-lain,2008,Automatic,130000.0
Ford,Focus,Sport,2014,Automatic Triptonic,90000.0
Mazda,CX-5,Elite,2018,Automatic Triptonic,20000.0
Mazda,2,GT,2014,Automatic Triptonic,60000.0
KIA,Visto,Lain-lain,2000,Manual,150000.0
Nissan,Elgrand,HWS,2012,Automatic,60000.0
Ford,Escape,Limited,2010,Automatic,130000.0
KIA,Picanto,SE 3,2013,Automatic,45000.0
Isuzu,Lain-lain,,2016,Manual,100000.0
Suzuki,Karimun,DX,2018,Manual,20000.0
BMW,Lain-lain,Lain-lain,2017,Automatic,25000.0
BMW,Serie 3,320i 2.0,2014,Automatic Triptonic,50000.0
Toyota,Starlet,Lain-lain,1991,Manual,235000.0
Chrysler,300,300C,2013,Automatic Triptonic,40000.0
BMW,X1,sDrive18i xLine,2018,Automatic Triptonic,5000.0
Toyota,Calya,G,2017,Manual,20000.0
Daihatsu,Xenia,R 1.3 DLX,2013,Manual,105000.0
Honda,Freed,S,2012,Automatic,65000.0
Ford,Fiesta,EcoBoost S,2014,Automatic Triptonic,55000.0
Mazda,Biante,2.0,2013,Automatic Triptonic,80000.0
BMW,Serie 5,528i Luxury,2010,Automatic Triptonic,90000.0
KIA,Lain-lain,Lain-lain,2010,Manual,120000.0
Volkswagen,Safari,1.6 L,1985,Manual,25000.0
Ford,Lain-lain,Lain-lain,2004,Manual,25000.0
Ford,Ecosport,Titanium,2014,Automatic Triptonic,80000.0
BMW,Serie 5,520i Luxury,2012,Automatic,45000.0
Daihatsu,Sigra,,2019,Manual,5000.0
Mercedes-Benz,CLA-Class,CLA200,2017,Automatic,15000.0
Isuzu,Lain-lain,Lain-lain,2013,Manual,55000.0
Ford,laser,Lain-lain,1993,Manual,50000.0
Ford,Everest,Lain-lain,2007,Manual,295000.0
Suzuki,APV,Lain-lain,2004,Manual,205000.0
Mercedes-Benz,C-Class,C200,2011,Automatic Triptonic,65000.0
Mazda,2,R,2012,Automatic,75000.0
Ford,Fiesta,Trend,2012,Manual,10000.0
Proton,Saga,,2009,Automatic,55000.0
Nissan,Livina,Lain-lain,2013,Automatic,120000.0
Nissan,Grand livina,Lain-lain,2016,Manual,50000.0
Nissan,X-Trail,,2018,Automatic Triptonic,10000.0
Smart,Fortwo,1.0 Passion Coupe,2010,Automatic Triptonic,20000.0
Mazda,Familia,Lain-lain,1997,Manual,295000.0
Daihatsu,Xenia,Xi Sporty,2010,Manual,40000.0
Daihatsu,Xenia,R 1.3 DLX,2012,Manual,55000.0
BMW,Serie 3,318i 1.8,2002,Automatic Triptonic,20000.0
Mercedes-Benz,S-Class,S350,2009,Automatic,55000.0
KIA,Picanto,Lain-lain,2010,Manual,95000.0
Suzuki,Baleno next-G,Lain-lain,2003,Manual,210000.0
Ford,Fiesta,Trend,2011,Automatic Triptonic,85000.0
Ford,Ecosport,Titanium,2015,Automatic,50000.0
Timor,Lain-lain,Lain-lain,1997,Manual,45000.0
Hino,Dutro,Truck,2004,Manual,20000.0
Chevrolet,Orlando,LT,2014,Automatic,35000.0
Land Rover,Range Rover Evoque,Dynamic Luxury Si4,2013,Automatic Triptonic,50000.0
Daihatsu,Gran max Pick-up,Lain-lain,2016,Manual,40000.0
Nissan,Livina,Lain-lain,2012,Manual,110000.0
Honda,Mobilio,E Prestige,2015,Automatic,45000.0
Jeep,Rubicon,Lain-lain,2012,Automatic,10000.0
Nissan,X-Trail,Lain-lain,2014,Automatic,80000.0
Nissan,Serena,Lain-lain,2004,Automatic,165000.0
Mitsubishi,Pajero Sport,,2019,Automatic Triptonic,5000.0
Nissan,Grand livina,Lain-lain,2016,Manual,85000.0
Hyundai,Avega,SG,2014,Automatic Triptonic,45000.0
Proton,Savvy,Lain-lain,2009,Manual,90000.0
Mitsubishi,Pajero Sport,Exceed,2009,Automatic,170000.0
Mercedes-Benz,C-Class,C200,2008,Automatic,35000.0
Suzuki,Karimun,GX,2005,Manual,45000.0
Datsun,Go+,Panca T,2016,Manual,55000.0
BMW,Serie 3,320i,1995,Manual,265000.0
Mercedes-Benz,C-Class,C200,1996,Automatic,230000.0
Datsun,Go,Panca T Active,2015,Manual,45000.0
Honda,Brio,Lain-lain,2013,Manual,85000.0
Suzuki,Ertiga,GL,2019,Manual,10000.0
Toyota,Innova,G,2004,Manual,5000.0
Chery,QQ,Compact City,2010,Manual,40000.0
Mazda,CX-5,Grand Touring,2015,Automatic,60000.0
Toyota,Vios,Lain-lain,2009,Manual,
Suzuki,Grand vitara,Lain-lain,2008,Automatic,200000.0
Datsun,Go+,Panca T Style,2016,Manual,5000.0
Hino,Dutro,Lain-lain,2014,Manual,110000.0
Hyundai,Grand Avega,GL,2012,Automatic Triptonic,85000.0
Daihatsu,Xenia,R 1.3 DLX,2015,Manual,60000.0
Toyota,Yaris,S limited,2010,Automatic,140000.0
Mitsubishi,Pajero Sport,Dakar 2.4,2013,Automatic Triptonic,70000.0
KIA,Sportage,Plantinum,2001,Automatic,20000.0
Hyundai,New Tucson,Lain-lain,2012,Automatic,95000.0
Mazda,Biante,2.0 SKYACTIV,2015,Automatic Triptonic,55000.0
Ford,Fiesta,Trend,2011,Automatic Triptonic,75000.0
Daihatsu,Terios,TX,2014,Manual,55000.0
Hyundai,Lain-lain,Lain-lain,2007,Automatic,145000.0
Peugeot,307,Lain-lain,2004,Manual,155000.0
Mitsubishi,Lancer,1.8 GLXi,1995,Manual,150000.0
Daihatsu,Xenia,Xi Deluxe,2011,Manual,150000.0
Isuzu,Lain-lain,Lain-lain,2013,Manual,55000.0
Volkswagen,Beetle,1.2,1985,Manual,5000.0
Mercedes-Benz,SLK-Class,SLK200,2009,Automatic,35000.0
Mazda,2,R,2016,Manual,30000.0
Toyota,Lain-lain,Lain-lain,1985,Manual,205000.0
Jeep,Wrangler ,Rubicon,2011,Automatic,50000.0
Daihatsu,Gran max,Lain-lain,2015,Manual,100000.0
Mazda,2,V,2013,Automatic,55000.0
Ford,Ranger,Lain-lain,2004,Manual,300000.0
Mitsubishi,Pajero Sport,Dakar 2.4,2016,Automatic,45000.0
KIA,Picanto,SE,2009,Manual,5000.0
Hino,Lain-lain,,2014,Manual,100000.0
